                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.5926,                0.68771,                0.86049,                0.98844,                 0.9734,                0.98455,                0.65618,                 1.2603,                0.65634,                0.85444,             0.00045118,             0.00045118,             0.00045118
                     69,                 1.6295,                0.72401,                 0.8612,                0.98514,                0.97163,                0.98392,                 0.6154,                 1.3778,                0.68966,                  0.871,             0.00044445,             0.00044445,             0.00044445
                     70,                 1.3098,                0.63003,                 0.8561,                0.98514,                0.97163,                0.98392,                 0.6154,                 1.3778,                0.68966,                  0.871,             0.00043732,             0.00043732,             0.00043732
                     71,                 1.2426,                0.62846,                0.83512,                0.98514,                0.97163,                0.98392,                 0.6154,                 1.3778,                0.68966,                  0.871,              0.0004298,              0.0004298,              0.0004298
                     72,                 1.3372,                0.67345,                0.87043,                0.98869,                0.97518,                 0.9856,                0.61018,                 1.3794,                0.69511,                0.86958,             0.00042188,             0.00042188,             0.00042188
                     73,                 1.2289,                0.60752,                0.85508,                0.98869,                0.97518,                 0.9856,                0.61018,                 1.3794,                0.69511,                0.86958,             0.00041357,             0.00041357,             0.00041357
                     74,                 1.4787,                0.67094,                0.86756,                0.98869,                0.97518,                 0.9856,                0.61018,                 1.3794,                0.69511,                0.86958,             0.00040486,             0.00040486,             0.00040486
                     75,                 1.3937,                0.64491,                0.84336,                0.98366,                0.96986,                0.98114,                0.64343,                 1.2768,                0.67357,                 0.8538,             0.00039575,             0.00039575,             0.00039575
                     76,                 1.4628,                0.67207,                 0.9105,                0.98366,                0.96986,                0.98114,                0.64343,                 1.2768,                0.67357,                 0.8538,             0.00038625,             0.00038625,             0.00038625
                     77,                 1.2676,                0.61726,                0.83464,                0.98366,                0.96986,                0.98114,                0.64343,                 1.2768,                0.67357,                 0.8538,             0.00037635,             0.00037635,             0.00037635
                     78,                  1.421,                0.64099,                0.87874,                0.98227,                0.96986,                0.98085,                0.66571,                   1.23,                0.65478,                0.84809,             0.00036606,             0.00036606,             0.00036606
                     79,                 1.2451,                0.62362,                0.85983,                0.98227,                0.96986,                0.98085,                0.66571,                   1.23,                0.65478,                0.84809,             0.00035537,             0.00035537,             0.00035537
                     80,                 1.2195,                0.60809,                 0.8506,                0.98227,                0.96986,                0.98085,                0.66571,                   1.23,                0.65478,                0.84809,             0.00034428,             0.00034428,             0.00034428
                     81,                 1.2077,                0.63261,                0.84632,                0.98383,                0.97066,                0.98149,                0.63304,                   1.41,                0.65911,                0.87199,              0.0003328,              0.0003328,              0.0003328
                     82,                  1.434,                0.65669,                0.87979,                0.98383,                0.97066,                0.98149,                0.63304,                   1.41,                0.65911,                0.87199,             0.00032092,             0.00032092,             0.00032092
                     83,                 1.2233,                0.61576,                0.86686,                0.98383,                0.97066,                0.98149,                0.63304,                   1.41,                0.65911,                0.87199,             0.00030865,             0.00030865,             0.00030865
                     84,                  1.433,                0.68502,                0.84561,                0.98154,                0.96986,                0.97996,                0.62555,                  1.456,                 0.6639,                0.87916,             0.00029598,             0.00029598,             0.00029598
                     85,                 1.4145,                0.66842,                0.86659,                0.98154,                0.96986,                0.97996,                0.62555,                  1.456,                 0.6639,                0.87916,             0.00028291,             0.00028291,             0.00028291
                     86,                 1.3529,                0.65215,                0.87045,                0.98154,                0.96986,                0.97996,                0.62555,                  1.456,                 0.6639,                0.87916,             0.00026945,             0.00026945,             0.00026945
